Text,Score
"Excellent product and fast delivery",5
"Very good quality and packaging",4
"Average experience overall",3
"Not satisfied with the service",2
"Worst product ever purchased",1
"Really loved the design",5
"Okay but could improve",3
"Terrible packaging and delay",1
"Good value for money",4
"Bad customer support",2
"Amazing experience shopping here",5
"Product quality is decent",3
"Very disappointed with performance",1
"Fantastic features and quality",5
"Delivery was late but product is okay",3
"Excellent support team",4
"Poor battery backup",2
"Highly recommended product",5
"Not worth the money",1
"Pretty average item",3
"Great performance and speed",5
"Very poor quality material",1
"Good packaging and delivery",4
"Neutral feelings about this product",3
"Absolutely loved it",5
"Terrible customer experience",1
"Good but expensive",4
"Nothing special",3
"Worst purchase ever",1
"Very useful and efficient",5
"Average battery life",3
"Bad quality and damaged item",1
"Excellent build quality",5
"Delivery was quick and smooth",4
"Product is okay for the price",3
"Customer service was horrible",1
"Really happy with the purchase",5
"Decent product overall",3
"Not satisfied at all",2
"Superb quality and support",5
